"year","state","state_po","county_name","party","candidatevotes","totalvotes","percentvote"
"2000","ALABAMA","AL","MARSHALL","REPUBLICAN","17084","27989","61.04"
"2000","ALABAMA","AL","MOBILE","DEMOCRAT","58640","139745","41.96"
"2000","ALABAMA","AL","MOBILE","REPUBLICAN","78162","139745","55.93"
"2000","ALABAMA","AL","MONROE","DEMOCRAT","3741","8951","41.79"
"2000","ALABAMA","AL","MONROE","REPUBLICAN","5153","8951","57.57"
"2000","ALABAMA","AL","MONTGOMERY","DEMOCRAT","40371","80328","50.26"
"2000","ALABAMA","AL","MONTGOMERY","REPUBLICAN","38827","80328","48.34"
"2000","ALABAMA","AL","MORGAN","DEMOCRAT","16060","42681","37.63"
"2000","ALABAMA","AL","MORGAN","REPUBLICAN","25774","42681","60.39"
"2000","ALABAMA","AL","PERRY","DEMOCRAT","4020","5787","69.47"
"2000","ALABAMA","AL","PERRY","REPUBLICAN","1732","5787","29.93"
"2000","ALABAMA","AL","PICKENS","DEMOCRAT","4143","8540","48.51"
"2000","ALABAMA","AL","PICKENS","REPUBLICAN","4306","8540","50.42"
"2000","ALABAMA","AL","PIKE","DEMOCRAT","4357","10544","41.32"
"2000","ALABAMA","AL","PIKE","REPUBLICAN","6058","10544","57.45"
"2000","ALABAMA","AL","RANDOLPH","DEMOCRAT","3094","7919","39.07"
"2000","ALABAMA","AL","RANDOLPH","REPUBLICAN","4666","7919","58.92"
"2000","ALABAMA","AL","RUSSELL","DEMOCRAT","8396","14775","56.83"
"2000","ALABAMA","AL","RUSSELL","REPUBLICAN","6198","14775","41.95"
"2000","ALABAMA","AL","ST. CLAIR","DEMOCRAT","6485","24090","26.92"
"2000","ALABAMA","AL","ST. CLAIR","REPUBLICAN","17117","24090","71.05"
"2000","ALABAMA","AL","SHELBY","DEMOCRAT","13183","62128","21.22"
"2000","ALABAMA","AL","SHELBY","REPUBLICAN","47651","62128","76.70"
"2000","ALABAMA","AL","SUMTER","DEMOCRAT","4415","6088","72.52"
"2000","ALABAMA","AL","SUMTER","REPUBLICAN","1629","6088","26.76"
"2000","ALABAMA","AL","TALLADEGA","DEMOCRAT","11264","25451","44.26"
"2000","ALABAMA","AL","TALLADEGA","REPUBLICAN","13807","25451","54.25"
"2000","ALABAMA","AL","TALLAPOOSA","DEMOCRAT","6183","16253","38.04"
"2000","ALABAMA","AL","TALLAPOOSA","REPUBLICAN","9805","16253","60.33"
"2000","ALABAMA","AL","TUSCALOOSA","DEMOCRAT","24614","60114","40.95"
"2000","ALABAMA","AL","TUSCALOOSA","REPUBLICAN","34003","60114","56.56"
"2000","ALABAMA","AL","WALKER","DEMOCRAT","11621","25641","45.32"
"2000","ALABAMA","AL","WALKER","REPUBLICAN","13486","25641","52.60"
"2000","ALABAMA","AL","WASHINGTON","DEMOCRAT","3386","7596","44.58"
"2000","ALABAMA","AL","WASHINGTON","REPUBLICAN","4117","7596","54.20"
"2000","ALABAMA","AL","WILCOX","DEMOCRAT","3444","5126","67.19"
"2000","ALABAMA","AL","WILCOX","REPUBLICAN","1661","5126","32.40"
"2000","ALABAMA","AL","WINSTON","DEMOCRAT","2692","9318","28.89"
"2000","ALABAMA","AL","WINSTON","REPUBLICAN","6413","9318","68.82"
"2000","ARIZONA","AZ","APACHE","DEMOCRAT","13025","19456","66.95"
"2000","ARIZONA","AZ","APACHE","REPUBLICAN","5947","19456","30.57"
"2000","ARIZONA","AZ","COCHISE","DEMOCRAT","13360","33241","40.19"
"2000","ARIZONA","AZ","COCHISE","REPUBLICAN","18180","33241","54.69"
"2000","ARIZONA","AZ","COCONINO","DEMOCRAT","20280","40883","49.60"
"2000","ARIZONA","AZ","COCONINO","REPUBLICAN","17562","40883","42.96"
"2000","ARIZONA","AZ","GILA","DEMOCRAT","7700","17736","43.41"
"2000","ARIZONA","AZ","GILA","REPUBLICAN","9158","17736","51.64"
"2000","ARIZONA","AZ","GRAHAM","DEMOCRAT","3355","9664","34.72"
"2000","ARIZONA","AZ","GRAHAM","REPUBLICAN","6007","9664","62.16"
"2000","ARIZONA","AZ","GREENLEE","DEMOCRAT","1216","2960","41.08"
"2000","ARIZONA","AZ","GREENLEE","REPUBLICAN","1619","2960","54.70"
"2000","ARIZONA","AZ","LA PAZ","DEMOCRAT","1769","4483","39.46"
"2000","ARIZONA","AZ","LA PAZ","REPUBLICAN","2543","4483","56.73"
